image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/desi/D (35).jpeg,262. Fashion ka hai yeh jalwa,"299. I wanna look like how ""ambarsariya"" sounds like",50. Cherishing Desi traditions through words.,491. Adding a hint of ethnicity to my Instagram feed.,"412. In the world of denim and shorts, keep the confidence to flaunt your Kurti",desi
/content/drive/MyDrive/Images/desi/D (6).jpeg,90. Proud of my Desi heritage and its vibrant culture.,229. Stay sanskari with saree,33. Too cute to handle.,168. Twirling into the weekend in this gorgeous saree.,"82. From sequins to silk, my Desi wardrobe is a treasure.",desi
/content/drive/MyDrive/Images/desi/D (43).jpeg,362. Sajni bass apne saajna ke liye he sajti hai,165. Gorgeous naari in gorgeous saree!,140. Shades of yellow,"82. From sequins to silk, my Desi wardrobe is a treasure.",212. Desi urge to look like how ambarsariya sounds,desi
/content/drive/MyDrive/Images/desi/D (26).jpeg,43.Desi beauty never fades.,227. Say no to Pardesi stay desi,267. Started with a spark and now we're on fire,119. mai sharmati roj lagati kajal surma lali~,195. Romanticising my life my life with bindis & jhumkas,desi
/content/drive/MyDrive/Images/desi/D (66).jpeg,"298. Be the dil pr haath rakh kr ""haaye"" to my hair flips",109. Oh to be a desi girl,389. Your next door eco friendly pataka,465. So much pride in wearing tradition.,244. Shades of yellow,desi
/content/drive/MyDrive/Images/desi/D (36).jpeg,233. I am Lit in this sizzlin scarlet drape,481. unleashing my inner desi diva,170. Saree may be a rainbow draped in cloud,400. Beauty in simplicity,405. Real beauty lies in wearing colorful salwar suits,desi
/content/drive/MyDrive/Images/desi/D (49).jpeg,253. लाल ishq,391. adding a bit of masala ot life,144. Barbie core Jhumke,"333. Don't need AP, i already know munde pagal ne saare","159. Be original, go ethnic!!",desi
/content/drive/MyDrive/Images/desi/D (17).jpeg,422. Capturing moments through a lens,261. The ph(f)ool you've been looking for,"53. Desi stories, endless inspiration.","298. Be the dil pr haath rakh kr ""haaye"" to my hair flips",381. Me living in my jhumka bareli wala moment,desi
/content/drive/MyDrive/Images/desi/D (73).jpeg,77. Rocking the Desi look with confidence.,131. Aapki Andheri raton ke liye choti si chamak,362. Sajni bass apne saajna ke liye he sajti hai,"135. I wanna look like how ""ambarsariya"" sounds like",367. what jhumkaa?,desi
/content/drive/MyDrive/Images/desi/D (53).jpeg,"298. Be the dil pr haath rakh kr ""haaye"" to my hair flips",152. living my desi girl fantasy,"187. Life is too short to wear boring clothes, wear a colorful kurti instead",199. Golden hour magic,"83. Traditional attire, timeless grace.",desi
/content/drive/MyDrive/Images/desi/D (57).jpeg,182. Sometimes all I need are flowers in my hair,227. Say no to Pardesi stay desi,190. Jhumka bareilly wala!,475. Anarkali moments = Timeless memories,13. Simply Desi.,desi
/content/drive/MyDrive/Images/desi/D (75).jpeg,247. My love language,439. Enchanted,5. Highlighting Desi charm.,329. Everyone says: Tum khole baalo main Achi lagti ho..!!! But salar sikhandar says: Tum baal Bhandh lo main baar baar Aapni baatein bhul raha ho.!!!,181. Chaand sifarish,desi
/content/drive/MyDrive/Images/desi/D (15).jpeg,428. Letting my creativity bloom,418. Mai sharmaati roz lagaati kajal surma lali,291. Celebrating the beauty of desi aesthetics.,406. No outfit can beat the elegance level of a salwar suit! -,155. the ph(fool you've been looking for,desi
/content/drive/MyDrive/Images/desi/D (23).jpeg,136. Pooh bani Pooja,469. From folklore to fashion frontlines,395. timeless beauty wrapped in tradition,101. Flaunting my Indianness,155. the ph(fool you've been looking for,desi
/content/drive/MyDrive/Images/desi/D (42).jpeg,37. Tag a Desi soul.,148. Wrapped in elegance,435. Living my best aesthetic life,193. being a Desi girl is such a blessing ngl,59. Unapologetically Desi.,desi
/content/drive/MyDrive/Images/desi/D (50).jpeg,362. Sajni bass apne saajna ke liye he sajti hai,63. Embrace your Desi side.,"412. In the world of denim and shorts, keep the confidence to flaunt your Kurti","308. Life is too short to wear boring clothes, wear a colorful kurti instead!",108. Alexa play Dagabaaz re,desi
/content/drive/MyDrive/Images/desi/D (70).jpeg,213. Felt like a mermaid in this desi fairy fit,410. You cant live an Indian life without Indian clothes,140. Shades of yellow,351. Dupatta love never fades,467. Ethnic and ecstatic,desi
/content/drive/MyDrive/Images/desi/D (89).jpeg,"305. Keeping it traditional, one kurti at a time!","303. Desi girl in a desi world, slaying in a kurti!",175. This naari loves saree,69. Savoring the charm of Desi elegance.,438. Chand nazar aaya,desi
/content/drive/MyDrive/Images/desi/D (61).jpeg,"153. Be the dil pe hath rakh kr ""haaye"" to my hairflips","278. Every saree tells a story, Can you read mine?","284. This is me being classy and all, wearing mom's saree","477. In a world full of trends, I choose tradition",453. The mandatory swirling pose wearing a lehenga.,desi
/content/drive/MyDrive/Images/desi/D (78).jpeg,355. Dupattas for the win,166. Stay sanskari with saree,307. Be the kurti queen you were born to be!,"231. Saree, but make it haute",352. A pop of color for any occasion,desi
/content/drive/MyDrive/Images/desi/D (60).jpeg,364. Be my ranjha and I'll be your heer,206. A moment for the jhutti's,"378. Feminine urge to be ""that girl"" Indian shayars talk about",423. Chasing sunsets and adventure,47. Finding beauty in Desi diversity.,desi
/content/drive/MyDrive/Images/desi/D (80).jpeg,384. bilkul shayari jaisi,246. Gift me a pair of jhumka,444. Rocking my ethnicity.,272. Stay sanskari with saree,332. Twirling into culture and couture,desi
/content/drive/MyDrive/Images/desi/D (92).jpeg,194. in my param sundari moment,435. Living my best aesthetic life,419. aankhon ki gustakhiyaaaa,489. what are your thoughts on this desi avatar,368. chaand sifarish,desi
/content/drive/MyDrive/Images/desi/D (84).jpeg,55. Words that reflect Desi souls.,161. Dangling delights that steal the spotlight,32. This Desi cuteness overload.,219. Showing off my bright side today,211. देसी Day out,desi
/content/drive/MyDrive/Images/desi/D (79).jpeg,357. are you gonna feed me samosas while my mehendi is drying,350. Wrapped up in tradition and style,37. Tag a Desi soul.,251. Desi attire,"94. From Ganges to Himalayas, celebrating Desi roots.",desi
/content/drive/MyDrive/Images/desi/D (88).jpeg,346. What are your thoughts on this desi avatar?,"74. From samosas to selfies, embracing all things Desi.",100. Shudh desi look!,"58. Desi vibes, always!",317. Me and my outfit,desi
/content/drive/MyDrive/Images/desi/D (34).jpeg,6. Exploring Desi diversity.,"134. Be the dil pr haath rakh kr ""haaye"" to my hair flips",169. Slaying the saree game with a pinch of swag,"278. Every saree tells a story, Can you read mine?",326. Livin',desi
/content/drive/MyDrive/Images/desi/D (96).jpeg,72. Desi vibes and Bollywood dreams.,143. My love language,33. Too cute to handle.,414. Fifty shades of pinterest girl,225. Shudh desi look,desi
/content/drive/MyDrive/Images/desi/D (65).jpeg,369. lets go buy a gajra,346. What are your thoughts on this desi avatar?,355. Dupattas for the win,484. Desi girl problems: twirling in a saree without tripping.,"61. Desi by heart, global by soul.",desi
/content/drive/MyDrive/Images/desi/D (59).jpeg,316. All the festive feels,227. Say no to Pardesi stay desi,"123. Only dard, No disco",457. Menu suit suit karda.,98. lets flip to traditional,desi
/content/drive/MyDrive/Images/desi/D (54).jpeg,12. Forever Desi.,"412. In the world of denim and shorts, keep the confidence to flaunt your Kurti",145. Dupatta tera,251. Desi attire,137. Wanna sing chura liya hai tumne Jo Dil ko but no one is stealing,desi
/content/drive/MyDrive/Images/desi/D (76).jpeg,"74. From samosas to selfies, embracing all things Desi.",143. My love language,136. Pooh bani Pooja,434. Creating my own little world,197. Just a desi girl who loves playing dress up,desi
/content/drive/MyDrive/Images/desi/D (85).jpeg,32. Awww-inducing Desi moments.,"376. Kurti and jeans, a match made in heaven",392. In my param sundari moment,"446. ""Mai apni favourite hu."" - Geet",240. Vintage vibes,desi
/content/drive/MyDrive/Images/desi/D (98).jpeg,225. Shudh desi look,"82. From sequins to silk, my Desi wardrobe is a treasure.",236. Cozy never looked so poppin,209. देसी coffee date,"378. Feminine urge to be ""that girl"" Indian shayars talk about",desi
/content/drive/MyDrive/Images/desi/D (71).jpeg,157. Desi wala attire,239. This saree hit different,277. Me and my never ending saree love!,364. Be my ranjha and I'll be your heer,383. Timeless Glamour,desi
/content/drive/MyDrive/Images/desi/D (74).jpeg,318. Allow me to reintroduce myself,488. Life is too short to wear boring clothes.,144. Barbie core Jhumke,319. Not your regular bitch,230. Slaying the saree game with a pinch of swag,desi
/content/drive/MyDrive/Images/desi/D (67).jpeg,467. Ethnic and ecstatic,"129. Kabhi Khushi, Always Ghum",415. Your new obsession,271. Ni mai mere nalo sohna koi v vekhya na,389. Your next door eco friendly pataka,desi
/content/drive/MyDrive/Images/desi/D (86).jpeg,496. Dressed like I'm ready for a Bollywood movie.,434. Creating my own little world,56. Living my Bollywood dream scene 🎬✨,472. Lost in layers... send help or compliments,28. Spreading Desi sweetness.,desi
/content/drive/MyDrive/Images/desi/D (95).jpeg,216. On todays episode,"51. Proudly Desi, fiercely independent.","94. From Ganges to Himalayas, celebrating Desi roots.","278. Every saree tells a story, Can you read mine?",68. Desi life: where every meal is a feast and every gathering is a celebration.,desi
/content/drive/MyDrive/Images/desi/D (87).jpeg,422. Capturing moments through a lens,437. Brown rang aur saree,229. Stay sanskari with saree,419. aankhon ki gustakhiyaaaa,142. Gift me a pair of jhumka,desi
/content/drive/MyDrive/Images/desi/D (51).jpeg,418. Mai sharmaati roz lagaati kajal surma lali,88. From Bollywood beats to bhangra vibes.,466. Old tales in new threads,2. Embracing my Desi roots.,392. In my param sundari moment,desi
/content/drive/MyDrive/Images/desi/D (38).jpeg,292. Feeling stylish in my new kurti,128. Aja Meri Gaadi Me Baith Ja,425. Sharing my creative journey,177. Jhumkas and bindis make it all prettyy!!,256. That girl all the shayars talk about,desi
/content/drive/MyDrive/Images/desi/D (90).jpeg,"454. The moment I wear Indian attire, I feel like a princess.","135. I wanna look like how ""ambarsariya"" sounds like",268. The one you've been looking for,"75. Desi aura, global allure.",11. Desi love.,desi
/content/drive/MyDrive/Images/desi/D (58).jpeg,324. I love it when you call me senorita,43.Desi beauty never fades.,346. What are your thoughts on this desi avatar?,49. Unlocking Desi expressions.,"477. In a world full of trends, I choose tradition",desi
/content/drive/MyDrive/Images/desi/D (97).jpeg,148. Wrapped in elegance,200. You can't scroll without complimenting my new Kurti swag!,393. Classic charm with a desi twist,344. Feelin' bright like of light.,4. Unleashing Desi swag.,desi
/content/drive/MyDrive/Images/desi/D(100).jpeg,102. In my 'Desi Girl' Era,485. Who needs filters when you have a dazzling smile and a killer outfit?,448. Always ready to spread the sass.,7. Living that Desi life.,493. My Indian fashion game on point.,desi
/content/drive/MyDrive/Images/desi/D (72).jpeg,347. Let's flip to traditional.!!,469. From folklore to fashion frontlines,297. Desi वातावरण,451. Six yards of grace and elegance!,27. Cutest Desi vibes.,desi
/content/drive/MyDrive/Images/desi/D (94).jpeg,317. Me and my outfit,"461. More than jeans and tops, I feel more comfortable with the traditional outfit",306. Kurti love is real!,"404. Spices, bhangra & kurta pajama r India's gifts to the world -",393. Classic charm with a desi twist,desi
/content/drive/MyDrive/Images/desi/D (91).jpeg,306. Kurti love is real!,358. mehendi makes it all a little better,160. Adding sparkle to your Insta wall,282. Take off that shyness and wear some red,314. Shining through the city with the little funk and soul,desi
/content/drive/MyDrive/Images/desi/D (55).jpeg,"497. Feeling cute, might slay later in Indian attire.",251. Desi attire,314. Shining through the city with the little funk and soul,178. Indian aesthetics are the prettiest,172. If pretty was a person,desi
/content/drive/MyDrive/Images/desi/D (81).jpeg,"440. ""Tumhara koi haq nahi banta ki tum itni khoobsurat dikho"" - Poo",49. Unlocking Desi expressions.,419. aankhon ki gustakhiyaaaa,413. If pretty was a person,50. Cherishing Desi traditions through words.,desi
/content/drive/MyDrive/Images/desi/D (46).jpeg,377. woh noor ka jharna hai,23. My Desi sense of humor is unbeatable.,32. Awww-inducing Desi moments.,415. Your new obsession,36. Embrace the Desi spirit.,desi
/content/drive/MyDrive/Images/desi/D (83).jpeg,359. And what gave you the confidence ummmmm my mom's saree,387. desi core,419. aankhon ki gustakhiyaaaa,234. Turnin up the heat,15. Authenticity at its best.,desi
/content/drive/MyDrive/Images/desi/D (82).jpeg,234. Turnin up the heat,327. Saree is incomplete without jhumka like how Vada pav is incomplete without paav,256. That girl all the shayars talk about,395. timeless beauty wrapped in tradition,356. Loving the versatility of dupattas,desi
/content/drive/MyDrive/Images/desi/D (99).jpeg,226. Just another royal look,257. Chann maahi aaja ve sanu tereiyan udeekan,352. A pop of color for any occasion,162. Jhumkas heavier than your attitude.,146. Hans waala सफ़ेद 20,desi
/content/drive/MyDrive/Images/desi/D (93).jpeg,161. Dangling delights that steal the spotlight,395. timeless beauty wrapped in tradition,199. Golden hour magic,260. Too much sanskar,190. Jhumka bareilly wala!,desi
/content/drive/MyDrive/Images/desi/D (77).jpeg,"460. Modern thinking, traditional look. What a perfect match!","376. Kurti and jeans, a match made in heaven",428. Letting my creativity bloom,208. Urge to be his Laila,"135. I wanna look like how ""ambarsariya"" sounds like",desi
/content/drive/MyDrive/Images/mountain/MOUNT (20).jpeg,watch more sunsets than netflix,Move mountains,"sun, please",Peaked,Finding myself between earth and sky.,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (3).jpeg,Switch off the Wi-Fi and plug into the WiLD.,"If it ain't above the trees, it ain't for me",Epic views ahead.,"Not all those who wander are lost, just some of us who crave mountain air",head for the hills,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (26).jpeg,paradise: found,Feelin' smoky,Just a place where we could stay forever.,Not complaining about this view.,The view was a 10/10,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (23).jpeg,"A view to cherish, a memory to capture.",Lost in the mountains,Finding peace in the mountains.,Never miss a moment in the mountains,Lost in the woods,mountain
/content/drive/MyDrive/Images/mountain/MOUNT (4).jpeg,Adopt the pace of nature,This hike has been peak comedy.,In my element,always take the scenic route,Let the greenery refresh your soul,mountain
